Latitude,Longitude,Site number,Velocity m/s,Discharge cumecs,Width (W) m,Depth (D) m,CSA (WxD) sq m,Bearing°,Time,Image URL,Source URL,Attribution
52.55023,-2.84039,Site 1,0.24,0.0228,1.8,0.048,0.0864,95,2024-09-19T10:30:00,https://s3.geograph.org.uk/geophotos/06/07/35/6073511_91336fe4.jpg,https://www.geograph.org.uk/photo/6073511,"© 'Lightspout Waterfall', Jeff Buck, Geograph, 2018, CC-BY-SA 2.0"
52.55039,-2.83686,Site 2,0.29,0.031,2.09,0.052,0.10868,75,2024-09-19T11:00:00,https://s1.geograph.org.uk/geophotos/06/07/35/6073501_a33267ab.jpg,https://www.geograph.org.uk/photo/6073501,"© 'Stream below Lightspout Hollow', Jeff Buck, Geograph, 2018, CC-BY-SA 2.0"
52.550711,-2.834548,Site 3,0.27,0.0362,2.11,0.063,0.13293,90,2024-09-19T11:30:00,https://s2.geograph.org.uk/geophotos/01/18/98/1189818_8927f30c.jpg,https://www.geograph.org.uk/photo/1189818,"© 'Junction of Carding Mill Valley and Light Spout Hollow', Ian Capper, Geograph, 2009, CC-BY-SA 2.0"
52.549768,-2.830394,Site 4,0.3,0.0479,2.48,0.064,0.15872,120,2024-09-19T12:00:00,https://s3.geograph.org.uk/geophotos/03/29/84/3298467_839584e4.jpg,https://www.geograph.org.uk/photo/3298467,"© 'Carding Mill Valley, Shropshire (near Mott's Road)', Nigel Thompson, Geograph, 2012, CC-BY-SA 2.0"
52.549056,-2.827081,Site 5,0.34,0.0574,3.13,0.069,0.21597,100,2024-09-19T12:30:00,https://s3.geograph.org.uk/geophotos/05/02/38/5023871_732226d5.jpg,https://www.geograph.org.uk/photo/5023871,"© 'Paths in Carding Mill Valley', Bill Boaden, Geograph, 2016, CC-BY-SA 2.0"
52.547514,-2.825196,Site 6,0.38,0.0592,3.21,0.074,0.23754,165,2024-09-19T13:00:00,https://s1.geograph.org.uk/geophotos/06/69/55/6695545_e33f7585.jpg,https://www.geograph.org.uk/photo/6695545,"© 'Tree in the Carding Mill Valley', Mat Fascione, Geograph, 2020, CC-BY-SA 2.0"
52.545496,-2.821295,Site 7,0.38,0.1118,3.24,0.08,0.2592,110,2024-09-19T13:30:00,https://s1.geograph.org.uk/geophotos/07/69/60/7696053_b97b352f_1024x1024.jpg,https://www.geograph.org.uk/photo/7696053,"© 'The Ashbrooke in the Carding Mill Valley', Mat Fascione, Geograph, 2020, CC-BY-SA 2.0"
52.544417,-2.817745,Site 8,0.48,0.125,3.63,0.087,0.31581,100,2024-09-19T14:00:00,https://s1.geograph.org.uk/geophotos/07/10/53/7105361_0738e5a4.jpg,https://www.geograph.org.uk/photo/7105361,"© 'A wet day in the Carding Mill Valley', Mat Fascione, Geograph, 2022, CC-BY-SA 2.0 "
